Date,Country,AreaCode,Area,TotalCases,Population
13/03/2020,England,E06000023,Bristol,8,463377
13/03/2020,England,E06000016,Leicester,3,354224
13/03/2020,England,E08000012,Liverpool,11,498042
13/03/2020,England,E06000032,Luton,3,213052
13/03/2020,England,E08000003,Manchester,15,552858
13/03/2020,England,E08000019,Sheffield,24,584853
13/03/2020,Scotland,S08000031,Glasgow,20,633120
13/03/2020,Scotland,S08000024,Edinburgh,19,524930
13/03/2020,Wales,W11000029,Cardiff,4,366903
13/03/2020,Wales,W11000031,Swansea,28,246993
13/03/2020,England,E06000026,Plymouth,3,262100
13/03/2020,Wales,W11000028,Newport,25,154676
13/03/2020,London,,London,761,8961989
14/03/2020,England,E08000025,Birmingham,43,1141816
14/03/2020,England,E06000023,Bristol,10,463377
14/03/2020,England,E08000012,Liverpool,13,498042
14/03/2020,England,E06000038,Reading,6,161780
14/03/2020,England,E08000019,Sheffield,30,584853
14/03/2020,England,E06000033,Southend-on-Sea,4,183125
14/03/2020,Scotland,S08000031,Glasgow,31,633120
14/03/2020,Scotland,S08000024,Edinburgh,25,524930
14/03/2020,Wales,W11000029,Cardiff,9,366903
14/03/2020,Wales,W11000031,Swansea,28,246993
14/03/2020,Wales,W11000028,Newport,37,154676
14/03/2020,London,,London,909,8961989
15/03/2020,England,E08000025,Birmingham,55,1141816
15/03/2020,England,E06000023,Bristol,11,463377
15/03/2020,England,E08000035,Leeds,14,793139
15/03/2020,England,E08000003,Manchester,18,552858
15/03/2020,England,E06000038,Reading,8,161780
15/03/2020,England,E08000019,Sheffield,36,584853
15/03/2020,Scotland,S08000031,Glasgow,39,633120
15/03/2020,Scotland,S08000024,Edinburgh,28,524930
15/03/2020,Wales,W11000029,Cardiff,15,366903
15/03/2020,Wales,W11000031,Swansea,30,246993
15/03/2020,England,E06000026,Plymouth,6,262100
15/03/2020,Wales,W11000028,Newport,59,154676
15/03/2020,London,,London,1074,8961989
16/03/2020,England,E08000025,Birmingham,70,1141816
16/03/2020,England,E08000026,Coventry,13,371521
16/03/2020,England,E08000035,Leeds,15,793139
16/03/2020,England,E06000016,Leicester,5,354224
16/03/2020,England,E08000012,Liverpool,16,498042
16/03/2020,England,E08000003,Manchester,24,552858
16/03/2020,England,E06000038,Reading,9,161780
16/03/2020,England,E08000019,Sheffield,50,584853
16/03/2020,England,E06000033,Southend-on-Sea,6,183125
16/03/2020,Scotland,S08000031,Glasgow,44,633120
16/03/2020,Scotland,S08000024,Edinburgh,29,524930
16/03/2020,Wales,W11000029,Cardiff,19,366903
16/03/2020,Wales,W11000031,Swansea,32,246993
16/03/2020,England,E06000026,Plymouth,7,262100
16/03/2020,Wales,W11000028,Newport,82,154676
16/03/2020,London,,London,1308,8961989
17/03/2020,England,E08000025,Birmingham,94,1141816
17/03/2020,England,E06000023,Bristol,15,463377
17/03/2020,England,E08000026,Coventry,17,371521
17/03/2020,England,E08000035,Leeds,18,793139
17/03/2020,England,E06000016,Leicester,8,354224
17/03/2020,England,E08000012,Liverpool,20,498042
17/03/2020,England,E06000032,Luton,8,213052
17/03/2020,England,E08000003,Manchester,28,552858
17/03/2020,England,E06000038,Reading,11,161780
17/03/2020,England,E08000019,Sheffield,63,584853
17/03/2020,England,E06000033,Southend-on-Sea,8,183125
17/03/2020,Scotland,S08000031,Glasgow,49,633120
17/03/2020,Scotland,S08000024,Edinburgh,30,524930
17/03/2020,Wales,W11000029,Cardiff,30,366903
17/03/2020,Wales,W11000031,Swansea,34,246993
17/03/2020,Wales,W11000028,Newport,106,154676
17/03/2020,London,,London,1618,8961989
18/03/2020,England,E08000025,Birmingham,126,1141816
18/03/2020,England,E06000023,Bristol,22,463377
18/03/2020,England,E08000026,Coventry,21,371521
18/03/2020,England,E08000035,Leeds,22,793139
18/03/2020,England,E06000016,Leicester,13,354224
18/03/2020,England,E08000012,Liverpool,29,498042
18/03/2020,England,E06000032,Luton,14,213052
18/03/2020,England,E08000003,Manchester,31,552858
18/03/2020,England,E06000038,Reading,15,161780
18/03/2020,England,E08000019,Sheffield,81,584853
18/03/2020,Scotland,S08000031,Glasgow,57,633120
18/03/2020,Scotland,S08000024,Edinburgh,33,524930
18/03/2020,Wales,W11000029,Cardiff,39,366903
18/03/2020,Wales,W11000031,Swansea,37,246993
18/03/2020,England,E06000026,Plymouth,10,262100
18/03/2020,Wales,W11000028,Newport,125,154676
18/03/2020,London,,London,1974,8961989
19/03/2020,England,E08000025,Birmingham,161,1141816
19/03/2020,England,E06000023,Bristol,24,463377
19/03/2020,England,E08000026,Coventry,26,371521
19/03/2020,England,E08000035,Leeds,28,793139
19/03/2020,England,E06000016,Leicester,19,354224
19/03/2020,England,E08000012,Liverpool,35,498042
19/03/2020,England,E06000032,Luton,18,213052
19/03/2020,England,E08000003,Manchester,35,552858
19/03/2020,England,E06000038,Reading,16,161780
19/03/2020,England,E08000019,Sheffield,107,584853
19/03/2020,Scotland,S08000031,Glasgow,71,633120
19/03/2020,Scotland,S08000024,Edinburgh,35,524930
19/03/2020,Wales,W11000029,Cardiff,56,366903
19/03/2020,Wales,W11000031,Swansea,42,246993
19/03/2020,England,E06000026,Plymouth,12,262100
19/03/2020,Wales,W11000028,Newport,158,154676
19/03/2020,London,,London,2307,8961989
20/03/2020,England,E08000025,Birmingham,213,1141816
20/03/2020,England,E06000023,Bristol,28,463377
20/03/2020,England,E08000026,Coventry,27,371521
20/03/2020,England,E08000035,Leeds,35,793139
20/03/2020,England,E06000016,Leicester,21,354224
20/03/2020,England,E08000012,Liverpool,45,498042
20/03/2020,England,E06000032,Luton,27,213052
20/03/2020,England,E08000003,Manchester,39,552858
20/03/2020,England,E08000019,Sheffield,132,584853
20/03/2020,Scotland,S08000031,Glasgow,91,633120
20/03/2020,Scotland,S08000024,Edinburgh,40,524930
20/03/2020,Wales,W11000029,Cardiff,68,366903
20/03/2020,Wales,W11000031,Swansea,48,246993
20/03/2020,England,E06000026,Plymouth,14,262100
20/03/2020,Wales,W11000028,Newport,197,154676
20/03/2020,London,,London,2733,8961989
21/03/2020,England,E08000025,Birmingham,243,1141816
21/03/2020,England,E06000023,Bristol,36,463377
21/03/2020,England,E08000026,Coventry,36,371521
21/03/2020,England,E08000035,Leeds,41,793139
21/03/2020,England,E06000016,Leicester,26,354224
21/03/2020,England,E08000012,Liverpool,59,498042
21/03/2020,England,E06000032,Luton,30,213052
21/03/2020,England,E08000003,Manchester,42,552858
21/03/2020,England,E06000038,Reading,19,161780
21/03/2020,England,E08000019,Sheffield,169,584853
21/03/2020,England,E06000033,Southend-on-Sea,9,183125
21/03/2020,Scotland,S08000031,Glasgow,110,633120
21/03/2020,Scotland,S08000024,Edinburgh,44,524930
21/03/2020,Wales,W11000029,Cardiff,86,366903
21/03/2020,Wales,W11000031,Swansea,53,246993
21/03/2020,England,E06000026,Plymouth,16,262100
21/03/2020,Wales,W11000028,Newport,231,154676
21/03/2020,London,,London,3083,8961989
22/03/2020,England,E08000025,Birmingham,269,1141816
22/03/2020,England,E06000023,Bristol,41,463377
22/03/2020,England,E08000026,Coventry,42,371521
22/03/2020,England,E08000035,Leeds,52,793139
22/03/2020,England,E06000016,Leicester,33,354224
22/03/2020,England,E08000012,Liverpool,72,498042
22/03/2020,England,E06000032,Luton,35,213052
22/03/2020,England,E08000003,Manchester,46,552858
22/03/2020,England,E06000038,Reading,22,161780
22/03/2020,England,E08000019,Sheffield,212,584853
22/03/2020,England,E06000033,Southend-on-Sea,13,183125
22/03/2020,Scotland,S08000031,Glasgow,130,633120
22/03/2020,Scotland,S08000024,Edinburgh,46,524930
22/03/2020,Wales,W11000029,Cardiff,98,366903
22/03/2020,Wales,W11000031,Swansea,61,246993
22/03/2020,Wales,W11000028,Newport,269,154676
22/03/2020,London,,London,3519,8961989
23/03/2020,England,E08000025,Birmingham,334,1141816
23/03/2020,England,E06000023,Bristol,50,463377
23/03/2020,England,E08000026,Coventry,53,371521
23/03/2020,England,E08000035,Leeds,69,793139
23/03/2020,England,E06000016,Leicester,44,354224
23/03/2020,England,E08000012,Liverpool,90,498042
23/03/2020,England,E06000032,Luton,42,213052
23/03/2020,England,E08000003,Manchester,58,552858
23/03/2020,England,E06000038,Reading,26,161780
23/03/2020,England,E08000019,Sheffield,273,584853
23/03/2020,England,E06000033,Southend-on-Sea,19,183125
23/03/2020,Scotland,S08000031,Glasgow,152,633120
23/03/2020,Scotland,S08000024,Edinburgh,59,524930
23/03/2020,Wales,W11000029,Cardiff,128,366903
23/03/2020,Wales,W11000031,Swansea,71,246993
23/03/2020,England,E06000026,Plymouth,19,262100
23/03/2020,Wales,W11000028,Newport,330,154676
23/03/2020,London,,London,4206,8961989
24/03/2020,England,E08000025,Birmingham,401,1141816
24/03/2020,England,E06000023,Bristol,54,463377
24/03/2020,England,E08000026,Coventry,72,371521
24/03/2020,England,E08000035,Leeds,87,793139
24/03/2020,England,E06000016,Leicester,64,354224
24/03/2020,England,E08000012,Liverpool,115,498042
24/03/2020,England,E06000032,Luton,57,213052
24/03/2020,England,E08000003,Manchester,67,552858
24/03/2020,England,E06000038,Reading,28,161780
24/03/2020,England,E08000019,Sheffield,332,584853
24/03/2020,England,E06000033,Southend-on-Sea,25,183125
24/03/2020,Scotland,S08000031,Glasgow,183,633120
24/03/2020,Scotland,S08000024,Edinburgh,70,524930
24/03/2020,Wales,W11000029,Cardiff,164,366903
24/03/2020,Wales,W11000031,Swansea,85,246993
24/03/2020,England,E06000026,Plymouth,26,262100
24/03/2020,Wales,W11000028,Newport,375,154676
24/03/2020,London,,London,4842,8961989
25/03/2020,England,E08000025,Birmingham,462,1141816
25/03/2020,England,E06000023,Bristol,66,463377
25/03/2020,England,E08000026,Coventry,88,371521
25/03/2020,England,E08000035,Leeds,98,793139
25/03/2020,England,E06000016,Leicester,69,354224
25/03/2020,England,E08000012,Liverpool,139,498042
25/03/2020,England,E06000032,Luton,68,213052
25/03/2020,England,E08000003,Manchester,81,552858
25/03/2020,England,E06000038,Reading,36,161780
25/03/2020,England,E08000019,Sheffield,380,584853
25/03/2020,England,E06000033,Southend-on-Sea,27,183125
25/03/2020,Scotland,S08000031,Glasgow,221,633120
25/03/2020,Scotland,S08000024,Edinburgh,88,524930
25/03/2020,Wales,W11000029,Cardiff,203,366903
25/03/2020,Wales,W11000031,Swansea,96,246993
25/03/2020,England,E06000026,Plymouth,29,262100
25/03/2020,Wales,W11000028,Newport,454,154676
25/03/2020,London,,London,5597,8961989
26/03/2020,England,E08000025,Birmingham,554,1141816
26/03/2020,England,E06000023,Bristol,80,463377
26/03/2020,England,E08000026,Coventry,107,371521
26/03/2020,England,E08000035,Leeds,119,793139
26/03/2020,England,E06000016,Leicester,82,354224
26/03/2020,England,E08000012,Liverpool,173,498042
26/03/2020,England,E06000032,Luton,77,213052
26/03/2020,England,E08000003,Manchester,103,552858
26/03/2020,England,E06000038,Reading,43,161780
26/03/2020,England,E08000019,Sheffield,427,584853
26/03/2020,England,E06000033,Southend-on-Sea,35,183125
26/03/2020,Northern Ireland,N09000003,Belfast,75,340220
26/03/2020,Scotland,S08000031,Glasgow,258,633120
26/03/2020,Scotland,S08000024,Edinburgh,111,524930
26/03/2020,Wales,W11000029,Cardiff,255,366903
26/03/2020,Wales,W11000031,Swansea,111,246993
26/03/2020,England,E06000026,Plymouth,38,262100
26/03/2020,Wales,W11000028,Newport,507,154676
26/03/2020,London,,London,6361,8961989
27/03/2020,England,E08000025,Birmingham,624,1141816
27/03/2020,England,E06000023,Bristol,94,463377
27/03/2020,England,E08000026,Coventry,120,371521
