,City,Date,no2,o3,pm10,pm25,humidity,pressure,temperature,TotalCases,Population
1112,Edinburgh,14/04/2020,4.2,30.9,14.0,34.0,67.7,1025.6,6.9,989.0,524930.0
1113,Glasgow,14/04/2020,4.6,28.9,17.0,38.0,74.8,1029.0,6.6,1575.0,633120.0
1114,Leeds,14/04/2020,6.3,29.6,18.0,44.0,61.0,1027.1,8.0,772.0,793139.0
1115,Leicester,14/04/2020,3.4,31.6,12.0,30.0,64.0,1028.8,6.1,432.0,354224.0
1116,Liverpool,14/04/2020,4.8,29.4,17.0,42.0,65.4,1027.0,7.5,1040.0,498042.0
1117,London,14/04/2020,8.3,28.6,14.0,31.0,59.4,1028.4,7.1,20293.0,8961989.0
1119,Manchester,14/04/2020,7.8,26.6,20.0,48.0,62.4,1029.0,7.5,850.0,552858.0
1120,Newport,14/04/2020,5.9,30.5,14.0,34.0,71.0,1026.3,6.9,1652.0,154676.0
1122,Plymouth,14/04/2020,3.5,32.7,16.0,35.0,69.7,1027.7,6.7,178.0,262100.0
1124,Reading,14/04/2020,7.1,29.5,17.0,21.0,50.0,1027.6,8.2,294.0,161780.0
1125,Sheffield,14/04/2020,6.0,29.6,16.0,40.0,59.5,1023.9,8.0,1511.0,584853.0
1126,Southend-on-Sea,14/04/2020,2.2,33.6,11.0,27.0,61.7,1027.7,6.6,246.0,183125.0
1127,Swansea,14/04/2020,4.2,31.3,19.0,25.0,66.5,1029.1,6.5,988.0,246993.0
1128,Belfast,14/05/2020,7.9,25.6,10.0,14.0,62.0,1025.0,9.0,1264.0,340220.0
1129,Birmingham,14/05/2020,4.8,29.5,10.0,22.0,55.3,1023.4,9.2,3069.0,1141816.0
1130,Bristol,14/05/2020,7.2,22.9,13.0,25.0,57.5,1023.2,9.7,687.0,463377.0
1131,Cardiff,14/05/2020,4.6,26.0,10.0,21.0,61.2,1023.0,8.8,2490.0,366903.0
1132,Coventry,14/05/2020,3.3,30.3,9.0,20.0,48.5,1022.0,11.1,780.0,371521.0
1133,Edinburgh,14/05/2020,4.2,28.5,5.0,11.0,60.6,1022.2,9.5,2459.0,524930.0
1134,Glasgow,14/05/2020,5.5,26.9,6.0,13.0,64.3,1024.0,9.0,3628.0,633120.0
1135,Leeds,14/05/2020,5.1,29.8,10.0,17.0,14.0,1195.1,11.2,1723.0,793139.0
1136,Leicester,14/05/2020,6.7,24.6,10.0,24.0,61.7,1022.9,8.1,800.0,354224.0
1137,Liverpool,14/05/2020,4.0,30.2,9.0,16.0,64.6,1022.1,9.5,1542.0,498042.0
1138,London,14/05/2020,6.5,20.3,9.0,22.0,63.0,1022.0,8.8,26459.0,8961989.0
1140,Manchester,14/05/2020,7.4,26.7,11.0,23.0,67.5,1023.8,8.8,1404.0,552858.0
1141,Newport,14/05/2020,6.0,28.9,10.0,22.0,59.7,1020.8,9.1,2383.0,154676.0
1143,Plymouth,14/05/2020,3.3,28.0,8.0,20.0,54.2,1022.5,9.7,343.0,262100.0
1145,Reading,14/05/2020,6.3,24.9,11.0,9.0,46.0,1021.4,10.0,561.0,161780.0
1146,Sheffield,14/05/2020,5.4,29.7,9.0,23.0,55.5,1018.6,9.5,2472.0,584853.0
1147,Southend-on-Sea,14/05/2020,2.0,25.7,7.0,14.0,60.0,1022.7,9.8,359.0,183125.0
1148,Swansea,14/05/2020,3.7,28.5,11.0,21.0,59.2,1024.6,11.2,1769.0,246993.0
1170,Birmingham,15/03/2020,4.2,29.1,4.0,10.0,91.3,1004.7,7.5,55.0,1141816.0
1171,Bristol,15/03/2020,6.3,29.9,9.0,25.0,90.6,1006.4,7.8,11.0,463377.0
1172,Cardiff,15/03/2020,6.2,28.9,8.0,13.0,90.8,1006.4,7.7,15.0,366903.0
1174,Edinburgh,15/03/2020,3.2,30.4,5.0,12.0,79.4,993.5,6.8,28.0,524930.0
1175,Glasgow,15/03/2020,4.6,28.1,8.0,17.0,81.0,998.0,7.1,39.0,633120.0
1176,Leeds,15/03/2020,4.8,30.8,8.0,19.0,84.0,1001.0,7.5,14.0,793139.0
1179,London,15/03/2020,7.8,24.0,9.0,22.0,82.3,1008.0,9.7,1074.0,8961989.0
1180,Manchester,15/03/2020,4.9,23.3,10.0,23.0,78.1,1002.6,8.6,18.0,552858.0
1181,Newport,15/03/2020,4.2,32.1,7.0,13.0,91.2,1005.8,7.3,59.0,154676.0
1183,Plymouth,15/03/2020,4.9,28.7,11.0,25.0,94.2,1008.0,8.2,6.0,262100.0
1185,Reading,15/03/2020,4.0,29.3,8.0,9.0,87.2,1007.0,8.8,8.0,161780.0
1186,Sheffield,15/03/2020,4.5,29.4,7.0,19.0,85.9,1002.0,7.3,36.0,584853.0
1188,Swansea,15/03/2020,6.4,28.3,11.0,25.0,91.0,1006.8,7.7,30.0,246993.0
1189,Belfast,15/04/2020,9.6,22.8,25.0,56.0,78.5,1022.5,7.5,649.0,340220.0
1190,Birmingham,15/04/2020,8.1,29.0,20.0,52.0,58.2,1022.8,9.8,2070.0,1141816.0
1191,Bristol,15/04/2020,8.7,23.9,22.0,57.0,62.5,1022.4,10.8,419.0,463377.0
1192,Cardiff,15/04/2020,6.4,32.2,21.0,53.0,67.7,1022.3,9.3,1676.0,366903.0
1193,Coventry,15/04/2020,5.1,31.0,17.0,48.0,60.5,1022.3,9.4,490.0,371521.0
1194,Edinburgh,15/04/2020,4.6,28.8,11.0,30.0,74.0,1020.0,8.6,1040.0,524930.0
1195,Glasgow,15/04/2020,4.2,28.1,11.0,30.0,80.0,1023.0,8.4,1661.0,633120.0
1196,Leeds,15/04/2020,6.0,29.6,17.0,49.0,63.8,1004.9,11.9,825.0,793139.0
1197,Leicester,15/04/2020,6.3,29.3,18.0,53.0,58.0,1022.6,9.5,447.0,354224.0
1198,Liverpool,15/04/2020,8.5,27.9,23.0,55.0,65.2,1021.0,10.2,1078.0,498042.0
1199,London,15/04/2020,15.4,21.6,27.0,59.0,65.5,1022.8,9.7,20847.0,8961989.0
1201,Manchester,15/04/2020,13.3,21.1,27.0,64.0,61.0,1022.9,11.0,880.0,552858.0
1202,Newport,15/04/2020,9.4,24.4,18.0,55.0,61.0,1019.7,9.8,1701.0,154676.0
1204,Plymouth,15/04/2020,4.6,36.0,18.0,42.0,56.5,1020.8,10.7,189.0,262100.0
1206,Reading,15/04/2020,8.7,26.6,25.0,46.0,52.5,1021.3,10.6,318.0,161780.0
1207,Sheffield,15/04/2020,7.8,30.7,19.0,56.0,48.2,1017.6,12.2,1587.0,584853.0
1208,Southend-on-Sea,15/04/2020,5.6,30.2,25.0,66.0,64.4,1023.1,10.0,252.0,183125.0
1209,Swansea,15/04/2020,4.6,35.0,23.0,46.0,56.5,1022.5,9.5,1060.0,246993.0
1210,Belfast,15/05/2020,4.6,29.7,10.0,16.0,71.0,1026.0,10.0,1267.0,340220.0
1211,Birmingham,15/05/2020,5.9,29.1,10.0,22.0,68.0,1024.4,10.0,3086.0,1141816.0
1213,Cardiff,15/05/2020,5.1,29.7,9.0,17.0,67.5,1024.8,11.1,2510.0,366903.0
1214,Coventry,15/05/2020,3.6,29.9,9.0,22.0,65.5,1023.8,10.5,782.0,371521.0
1215,Edinburgh,15/05/2020,3.5,30.2,6.0,13.0,64.0,1021.8,10.0,2497.0,524930.0
1216,Glasgow,15/05/2020,4.2,30.8,7.0,13.0,69.0,1024.0,9.5,3663.0,633120.0
1217,Leeds,15/05/2020,4.7,32.5,8.0,13.0,15.5,1194.8,11.1,1735.0,793139.0
1218,Leicester,15/05/2020,7.3,24.4,10.0,23.0,67.5,1023.5,9.7,814.0,354224.0
1219,Liverpool,15/05/2020,3.2,32.6,8.0,13.0,66.4,1022.8,10.5,1554.0,498042.0
1220,London,15/05/2020,11.7,22.7,14.0,36.0,52.5,1023.3,13.4,26519.0,8961989.0
1222,Manchester,15/05/2020,6.4,28.7,12.0,25.0,74.5,1024.2,10.0,1416.0,552858.0
1223,Newport,15/05/2020,3.7,31.7,8.0,17.0,68.6,1022.1,10.0,2395.0,154676.0
1225,Plymouth,15/05/2020,3.5,31.4,11.0,24.0,65.4,1025.7,11.0,345.0,262100.0
1227,Reading,15/05/2020,5.4,27.4,14.0,13.0,57.0,1023.0,12.3,564.0,161780.0
1228,Sheffield,15/05/2020,4.6,32.0,9.0,18.0,63.0,1018.5,10.2,2477.0,584853.0
1229,Southend-on-Sea,15/05/2020,2.6,29.2,7.0,16.0,56.0,1024.3,13.6,362.0,183125.0
1230,Swansea,15/05/2020,2.3,32.5,8.0,17.0,60.7,1026.0,10.2,1778.0,246993.0
1252,Birmingham,16/03/2020,10.5,23.5,10.0,23.0,76.7,1021.1,5.9,70.0,1141816.0
1254,Cardiff,16/03/2020,11.0,19.5,13.0,21.0,85.1,1022.8,6.6,19.0,366903.0
1255,Coventry,16/03/2020,7.7,26.0,10.0,23.0,77.7,1020.7,6.4,13.0,371521.0
1256,Edinburgh,16/03/2020,5.1,28.5,6.0,13.0,83.2,1012.2,6.6,29.0,524930.0
1257,Glasgow,16/03/2020,8.3,23.2,8.0,17.0,87.0,1015.0,7.0,44.0,633120.0
1258,Leeds,16/03/2020,8.5,25.5,12.0,24.0,70.0,1018.0,6.5,15.0,793139.0
1259,Leicester,16/03/2020,11.4,18.0,12.0,28.0,74.5,1020.6,5.5,5.0,354224.0
1260,Liverpool,16/03/2020,2.2,29.8,10.0,16.0,67.0,1017.0,8.8,16.0,498042.0
1261,London,16/03/2020,19.2,12.8,14.0,35.0,71.4,1022.0,8.0,1308.0,8961989.0
1262,Manchester,16/03/2020,9.2,18.2,16.0,31.0,68.1,1019.3,8.4,24.0,552858.0
1263,Newport,16/03/2020,10.0,28.5,11.0,24.0,87.0,1022.6,6.4,82.0,154676.0
1265,Plymouth,16/03/2020,7.4,18.4,15.0,30.0,81.8,1024.9,7.2,7.0,262100.0
1267,Reading,16/03/2020,8.0,12.5,13.0,17.0,75.5,1022.3,4.8,9.0,161780.0
1268,Sheffield,16/03/2020,6.3,26.4,9.0,21.0,74.0,1019.4,7.0,50.0,584853.0
1269,Southend-on-Sea,16/03/2020,7.2,17.8,10.0,32.0,68.3,1022.1,7.5,6.0,183125.0
1270,Swansea,16/03/2020,7.4,25.2,17.0,34.0,87.2,1024.1,8.3,32.0,246993.0
1271,Belfast,16/04/2020,6.0,28.9,16.0,34.0,76.0,1018.0,10.0,689.0,340220.0
1272,Birmingham,16/04/2020,7.9,35.1,37.0,80.0,59.5,1016.1,13.3,2140.0,1141816.0
1273,Bristol,16/04/2020,9.7,25.9,39.0,78.0,60.6,1015.3,14.1,447.0,463377.0
1274,Cardiff,16/04/2020,7.8,25.3,28.0,68.0,60.9,1014.9,11.5,1738.0,366903.0
1275,Coventry,16/04/2020,5.8,39.2,36.0,83.0,58.5,1015.0,12.7,506.0,371521.0
1276,Edinburgh,16/04/2020,3.7,29.8,10.0,25.0,81.3,1020.0,7.2,1107.0,524930.0
1277,Glasgow,16/04/2020,5.1,27.7,11.0,25.0,74.0,1020.0,8.7,1742.0,633120.0
1278,Leeds,16/04/2020,5.2,32.1,21.0,57.0,75.0,1000.7,10.5,875.0,793139.0
1279,Leicester,16/04/2020,5.6,34.1,33.0,80.0,63.0,1016.1,9.0,457.0,354224.0
1280,Liverpool,16/04/2020,6.7,32.1,28.0,63.0,53.5,1015.0,12.5,1122.0,498042.0
1281,London,16/04/2020,19.2,17.7,43.0,97.0,69.7,1016.0,12.1,21337.0,8961989.0
1283,Manchester,16/04/2020,10.1,30.0,29.0,64.0,54.1,1016.4,12.0,895.0,552858.0
1284,Newport,16/04/2020,11.9,29.3,28.0,68.0,65.0,1012.5,12.5,1763.0,154676.0
1286,Plymouth,16/04/2020,7.9,31.4,25.0,66.0,64.8,1013.3,13.0,193.0,262100.0
1288,Reading,16/04/2020,13.6,22.1,46.0,102.0,54.0,1014.5,14.0,346.0,161780.0
1289,Sheffield,16/04/2020,11.1,31.1,30.0,70.0,60.8,1013.6,10.8,1634.0,584853.0
1290,Southend-on-Sea,16/04/2020,10.4,21.2,43.0,101.0,79.6,1016.4,11.6,255.0,183125.0
1291,Swansea,16/04/2020,5.5,36.6,29.0,57.0,56.3,1014.8,15.3,1128.0,246993.0
1292,Belfast,16/05/2020,4.9,28.1,8.0,19.0,73.5,1023.0,10.5,1276.0,340220.0
1293,Birmingham,16/05/2020,4.8,28.7,7.0,16.0,62.7,1024.1,11.1,3098.0,1141816.0
1295,Cardiff,16/05/2020,3.2,29.7,10.0,17.0,65.5,1024.5,11.7,2524.0,366903.0
1296,Coventry,16/05/2020,3.6,27.2,7.0,18.0,67.0,1023.5,11.5,783.0,371521.0
1297,Edinburgh,16/05/2020,2.8,28.5,6.0,13.0,71.0,1019.7,10.9,2539.0,524930.0
1298,Glasgow,16/05/2020,2.3,28.1,6.0,13.0,76.0,1021.9,10.8,3707.0,633120.0
1299,Leeds,16/05/2020,3.8,30.7,7.0,17.0,15.5,1194.3,11.8,1741.0,793139.0
1300,Leicester,16/05/2020,5.6,25.4,7.0,19.0,68.7,1023.3,9.1,827.0,354224.0
1301,Liverpool,16/05/2020,2.8,31.7,6.0,13.0,65.1,1021.8,12.0,1557.0,498042.0
1302,London,16/05/2020,8.5,25.3,10.0,30.0,57.0,1023.8,13.1,26542.0,8961989.0
1304,Manchester,16/05/2020,4.6,28.0,12.0,25.0,70.2,1023.5,11.4,1441.0,552858.0
1305,Newport,16/05/2020,3.6,32.5,9.0,17.0,63.5,1022.4,12.2,2409.0,154676.0
1307,Plymouth,16/05/2020,2.3,30.5,8.0,25.0,70.1,1026.4,12.0,346.0,262100.0
1309,Reading,16/05/2020,4.4,30.6,10.0,13.0,56.0,1023.7,13.3,566.0,161780.0
1310,Sheffield,16/05/2020,3.8,30.0,8.0,21.0,65.4,1018.2,10.8,2489.0,584853.0
1312,Swansea,16/05/2020,3.2,29.3,10.0,17.0,73.2,1026.2,12.2,1805.0,246993.0
1334,Birmingham,17/03/2020,6.2,20.4,7.0,17.0,90.2,1023.5,7.7,94.0,1141816.0
1335,Bristol,17/03/2020,7.4,21.6,12.0,21.0,87.7,1025.7,8.1,15.0,463377.0
1336,Cardiff,17/03/2020,7.8,21.2,10.0,13.0,93.0,1025.4,8.8,30.0,366903.0
1337,Coventry,17/03/2020,3.7,27.1,6.0,15.0,85.0,1023.5,8.8,17.0,371521.0
1338,Edinburgh,17/03/2020,6.4,26.5,8.0,21.0,80.6,1013.8,7.7,30.0,524930.0
1339,Glasgow,17/03/2020,7.8,21.6,10.0,25.0,84.0,1016.0,7.5,49.0,633120.0
1340,Leeds,17/03/2020,5.9,26.0,8.0,17.0,84.0,1018.0,11.0,18.0,793139.0
1341,Leicester,17/03/2020,5.9,22.7,8.0,15.0,81.2,1023.0,7.5,8.0,354224.0
1342,Liverpool,17/03/2020,2.0,29.6,3.0,6.0,71.0,1019.0,12.4,20.0,498042.0
1343,London,17/03/2020,11.5,19.1,15.0,30.0,79.5,1027.0,10.0,1618.0,8961989.0
1345,Manchester,17/03/2020,6.4,18.8,11.0,12.0,73.2,1020.2,11.5,28.0,552858.0
1346,Newport,17/03/2020,7.7,24.0,9.0,21.0,94.0,1025.6,8.4,106.0,154676.0
1350,Reading,17/03/2020,6.0,23.6,15.0,13.0,83.7,1026.4,7.7,11.0,161780.0
1351,Sheffield,17/03/2020,5.1,24.6,7.0,15.0,84.0,1020.7,8.3,63.0,584853.0
1352,Southend-on-Sea,17/03/2020,4.4,25.2,11.0,30.0,80.0,1027.3,10.5,8.0,183125.0
1353,Swansea,17/03/2020,9.2,22.4,20.0,38.0,94.0,1026.5,8.8,34.0,246993.0
1355,Birmingham,17/04/2020,4.1,29.2,16.0,35.0,74.0,1017.8,9.4,2220.0,1141816.0
1356,Bristol,17/04/2020,7.0,24.0,23.0,61.0,82.7,1015.5,11.3,461.0,463377.0
1357,Cardiff,17/04/2020,5.6,22.0,22.0,61.0,84.0,1014.5,10.3,1789.0,366903.0
1358,Coventry,17/04/2020,2.7,30.8,13.0,32.0,76.0,1016.6,10.2,526.0,371521.0
1359,Edinburgh,17/04/2020,2.8,32.5,12.0,26.0,78.5,1022.0,7.2,1172.0,524930.0
1360,Glasgow,17/04/2020,3.7,29.1,12.0,30.0,72.5,1022.0,8.0,1794.0,633120.0
1361,Leeds,17/04/2020,3.2,32.6,14.0,30.0,82.5,1003.5,7.5,925.0,793139.0
1362,Leicester,17/04/2020,2.5,29.9,11.0,28.0,77.5,1018.0,7.7,468.0,354224.0
1363,Liverpool,17/04/2020,3.9,32.0,17.0,38.0,63.5,1016.2,10.2,1156.0,498042.0
1364,London,17/04/2020,7.7,25.3,19.0,38.0,73.2,1016.5,10.6,21761.0,8961989.0
1366,Manchester,17/04/2020,5.1,27.3,25.0,52.0,69.5,1018.6,9.0,910.0,552858.0
1367,Newport,17/04/2020,12.8,24.4,20.0,57.0,81.7,1012.8,10.9,1805.0,154676.0
1369,Plymouth,17/04/2020,7.4,24.6,29.0,86.0,89.6,1012.1,11.3,200.0,262100.0
1371,Reading,17/04/2020,8.0,23.1,22.0,42.0,72.6,1015.2,11.1,365.0,161780.0
1372,Sheffield,17/04/2020,7.0,28.3,16.0,36.0,73.0,1014.1,7.4,1672.0,584853.0
1373,Southend-on-Sea,17/04/2020,2.6,31.6,16.0,39.0,79.3,1017.2,10.0,256.0,183125.0
1374,Swansea,17/04/2020,4.6,29.7,27.0,63.0,79.0,1014.8,12.2,1184.0,246993.0
1375,Belfast,17/05/2020,4.7,24.0,10.0,21.0,84.0,1019.0,12.0,1276.0,340220.0
1376,Birmingham,17/05/2020,2.8,27.7,8.0,19.0,70.5,1023.2,12.7,3103.0,1141816.0
1378,Cardiff,17/05/2020,2.3,28.1,12.0,21.0,76.4,1024.0,12.7,2534.0,366903.0
1379,Coventry,17/05/2020,2.1,27.1,8.0,21.0,68.6,1022.7,12.7,784.0,371521.0
1380,Edinburgh,17/05/2020,1.4,26.4,5.0,9.0,81.7,1017.0,11.8,2561.0,524930.0
1381,Glasgow,17/05/2020,2.8,23.6,5.0,14.0,90.0,1018.0,11.0,3731.0,633120.0
1382,Leeds,17/05/2020,3.8,30.4,9.0,25.0,24.5,1193.0,14.4,1754.0,793139.0
1383,Leicester,17/05/2020,6.4,20.7,10.0,25.0,65.0,1022.3,12.3,831.0,354224.0
1384,Liverpool,17/05/2020,2.7,29.5,9.0,19.0,66.6,1020.2,13.5,1562.0,498042.0
1385,London,17/05/2020,8.7,20.8,13.0,34.0,54.0,1023.3,15.0,26575.0,8961989.0
1387,Manchester,17/05/2020,3.7,26.0,10.0,27.0,68.8,1021.9,13.7,1459.0,552858.0
1388,Newport,17/05/2020,2.8,28.1,13.0,31.0,72.5,1021.5,12.3,2428.0,154676.0
1390,Plymouth,17/05/2020,2.2,28.7,9.0,25.0,78.2,1026.1,12.3,348.0,262100.0
1392,Reading,17/05/2020,3.3,27.3,11.0,13.0,58.8,1023.2,13.7,567.0,161780.0
1393,Sheffield,17/05/2020,3.2,28.6,8.0,19.0,65.6,1017.5,13.6,2493.0,584853.0
1394,Southend-on-Sea,17/05/2020,3.3,23.3,11.0,31.0,57.3,1023.9,15.9,363.0,183125.0
1395,Swansea,17/05/2020,3.2,28.1,13.0,34.0,83.5,1025.6,12.0,1810.0,246993.0
1417,Birmingham,18/03/2020,14.7,14.1,5.0,13.0,97.0,1023.4,6.6,126.0,1141816.0
1418,Bristol,18/03/2020,8.7,18.8,6.0,17.0,96.0,1023.6,10.0,22.0,463377.0
1419,Cardiff,18/03/2020,7.4,21.6,6.0,9.0,94.0,1023.6,9.4,39.0,366903.0
1420,Coventry,18/03/2020,6.9,25.3,3.0,7.0,94.0,1022.8,7.7,21.0,371521.0
1421,Edinburgh,18/03/2020,6.9,28.1,8.0,17.0,79.7,1019.9,4.5,33.0,524930.0
1422,Glasgow,18/03/2020,7.8,24.4,9.0,17.0,80.0,1021.0,4.8,57.0,633120.0
1423,Leeds,18/03/2020,11.8,23.6,8.0,18.0,83.0,1022.0,6.0,22.0,793139.0
1424,Leicester,18/03/2020,13.2,15.4,3.0,9.0,65.7,1022.9,7.2,13.0,354224.0
1425,Liverpool,18/03/2020,5.6,26.4,8.0,17.0,75.0,1022.5,7.0,29.0,498042.0
1426,London,18/03/2020,10.6,19.9,14.0,32.0,81.0,1024.1,11.7,1974.0,8961989.0
1428,Manchester,18/03/2020,9.5,19.7,9.0,21.0,86.7,1023.9,6.6,31.0,552858.0
1429,Newport,18/03/2020,6.4,26.9,4.0,9.0,98.0,1020.8,10.0,125.0,154676.0
1431,Plymouth,18/03/2020,4.8,26.7,13.0,25.0,96.0,1025.3,9.4,10.0,262100.0
1433,Reading,18/03/2020,4.2,23.0,13.0,9.0,86.6,1023.8,11.1,15.0,161780.0
1434,Sheffield,18/03/2020,8.8,24.0,5.0,13.0,81.7,1018.3,6.6,81.0,584853.0
1436,Swansea,18/03/2020,9.2,20.8,9.0,34.0,94.0,1024.7,8.7,37.0,246993.0
1438,Birmingham,18/04/2020,3.5,24.5,11.0,28.0,90.6,1019.1,6.2,2277.0,1141816.0
1439,Bristol,18/04/2020,4.9,20.6,12.0,34.0,91.0,1018.3,8.3,474.0,463377.0
1440,Cardiff,18/04/2020,3.2,21.6,9.0,21.0,89.1,1017.2,7.7,1833.0,366903.0
1441,Coventry,18/04/2020,3.4,27.6,11.0,27.0,90.1,1017.6,6.3,538.0,371521.0
1442,Edinburgh,18/04/2020,2.3,34.6,12.0,25.0,71.7,1022.2,5.8,1239.0,524930.0
1443,Glasgow,18/04/2020,2.8,31.3,13.0,30.0,65.0,1022.0,6.3,1905.0,633120.0
1444,Leeds,18/04/2020,3.0,32.1,12.0,24.0,84.2,1002.8,7.2,958.0,793139.0
1445,Leicester,18/04/2020,3.7,26.0,10.0,28.0,79.0,1018.8,5.2,483.0,354224.0
1446,Liverpool,18/04/2020,5.6,24.7,14.0,38.0,68.0,1017.9,8.0,1175.0,498042.0
1447,London,18/04/2020,8.4,19.8,22.0,52.0,83.0,1017.2,9.4,22067.0,8961989.0
1449,Manchester,18/04/2020,6.3,23.8,17.0,32.0,73.0,1019.4,8.3,939.0,552858.0
1450,Newport,18/04/2020,6.0,22.4,10.0,30.0,96.0,1015.7,7.2,1854.0,154676.0
1452,Plymouth,18/04/2020,4.9,24.0,21.0,68.0,91.5,1016.9,10.0,202.0,262100.0
1454,Reading,18/04/2020,6.1,20.6,13.0,55.0,81.2,1016.7,9.5,370.0,161780.0
1455,Sheffield,18/04/2020,5.9,28.2,13.0,30.0,78.5,1014.6,6.6,1731.0,584853.0
1456,Southend-on-Sea,18/04/2020,3.0,27.8,17.0,46.0,86.0,1018.0,9.9,257.0,183125.0
1457,Swansea,18/04/2020,2.8,24.4,13.0,38.0,83.3,1018.2,10.1,1224.0,246993.0
1458,Belfast,18/05/2020,9.8,23.6,8.0,17.0,81.0,1018.0,13.5,1283.0,340220.0
1459,Birmingham,18/05/2020,2.2,28.3,10.0,23.0,75.2,1022.6,13.1,3116.0,1141816.0
1460,Bristol,18/05/2020,8.7,31.0,17.0,38.0,74.0,1024.3,13.4,689.0,463377.0
1461,Cardiff,18/05/2020,2.3,30.9,12.0,21.0,78.5,1024.1,12.2,2548.0,366903.0
1462,Coventry,18/05/2020,1.8,29.1,9.0,21.0,70.6,1022.0,15.1,786.0,371521.0
1463,Edinburgh,18/05/2020,3.7,27.3,5.0,13.0,86.0,1016.0,12.2,2568.0,524930.0
1464,Glasgow,18/05/2020,4.2,24.4,7.0,21.0,87.0,1018.0,12.3,3742.0,633120.0
1465,Leeds,18/05/2020,6.8,27.5,14.0,25.0,32.5,1192.1,13.8,1758.0,793139.0
1466,Leicester,18/05/2020,6.0,23.2,11.0,26.0,68.2,1021.2,14.3,836.0,354224.0
1467,Liverpool,18/05/2020,2.0,30.8,8.0,17.0,67.0,1018.9,14.5,1567.0,498042.0
1468,London,18/05/2020,7.2,23.0,13.0,30.0,52.2,1023.0,17.0,26629.0,8961989.0
1470,Manchester,18/05/2020,6.8,21.2,12.0,24.0,76.0,1021.3,13.8,1477.0,552858.0
1471,Newport,18/05/2020,2.8,31.7,14.0,35.0,73.5,1021.4,12.9,2457.0,154676.0
1473,Plymouth,18/05/2020,2.8,30.0,11.0,34.0,80.8,1026.1,12.3,351.0,262100.0
1475,Reading,18/05/2020,3.3,30.8,12.0,9.0,58.2,1023.2,15.8,569.0,161780.0
1476,Sheffield,18/05/2020,3.6,27.7,9.0,22.0,73.2,1016.5,14.6,2499.0,584853.0
1477,Southend-on-Sea,18/05/2020,3.6,27.1,10.0,22.0,46.0,1023.8,18.3,369.0,183125.0
1478,Swansea,18/05/2020,3.7,31.7,15.0,25.0,82.5,1025.8,12.5,1826.0,246993.0
1500,Birmingham,19/03/2020,10.2,21.4,8.0,21.0,89.6,1027.4,4.4,161.0,1141816.0
1501,Bristol,19/03/2020,10.5,20.8,10.0,34.0,96.0,1026.7,5.0,24.0,463377.0
1502,Cardiff,19/03/2020,8.4,22.8,7.0,15.0,93.0,1026.3,4.4,56.0,366903.0
1503,Coventry,19/03/2020,7.0,27.4,7.0,18.0,93.0,1026.5,5.1,26.0,371521.0
1504,Edinburgh,19/03/2020,11.5,23.6,10.0,21.0,76.6,1027.6,5.0,35.0,524930.0
1505,Glasgow,19/03/2020,12.8,22.4,13.0,25.0,80.0,1029.5,4.5,71.0,633120.0
1506,Leeds,19/03/2020,11.8,19.8,17.0,30.0,77.5,1027.5,4.0,28.0,793139.0
1507,Leicester,19/03/2020,9.8,24.3,7.0,18.0,78.0,1027.5,4.4,19.0,354224.0
1508,Liverpool,19/03/2020,7.4,22.6,12.0,25.0,67.3,1026.4,6.5,35.0,498042.0
1509,London,19/03/2020,11.7,15.9,15.0,42.0,92.4,1026.0,7.2,2307.0,8961989.0
1511,Manchester,19/03/2020,17.0,11.4,19.0,43.0,80.0,1027.7,6.3,35.0,552858.0
1512,Newport,19/03/2020,6.0,26.9,7.0,18.0,97.5,1024.1,4.4,158.0,154676.0
1514,Plymouth,19/03/2020,7.9,15.3,9.0,29.0,95.5,1024.4,8.8,12.0,262100.0
1516,Reading,19/03/2020,10.8,15.7,13.0,21.0,96.5,1025.5,6.1,16.0,161780.0
1517,Sheffield,19/03/2020,16.3,18.2,14.0,35.0,72.5,1022.4,5.5,107.0,584853.0
1519,Swansea,19/03/2020,4.2,27.7,6.0,21.0,84.2,1027.3,5.5,42.0,246993.0
1521,Birmingham,19/04/2020,2.7,31.8,12.0,28.0,88.6,1021.7,7.7,2325.0,1141816.0
1522,Bristol,19/04/2020,3.2,31.3,19.0,57.0,68.0,1020.2,11.2,486.0,463377.0
1523,Cardiff,19/04/2020,2.8,23.1,18.0,50.0,71.5,1019.5,10.9,1877.0,366903.0
1524,Coventry,19/04/2020,2.8,34.0,12.0,29.0,70.5,1020.7,8.4,543.0,371521.0
1525,Edinburgh,19/04/2020,3.2,32.5,11.0,25.0,77.0,1025.0,7.4,1344.0,524930.0
1526,Glasgow,19/04/2020,3.2,29.7,11.0,25.0,73.3,1025.0,8.5,1949.0,633120.0
1527,Leeds,19/04/2020,2.5,32.1,12.0,26.0,69.8,1006.2,8.1,991.0,793139.0
1528,Leicester,19/04/2020,5.5,26.6,11.0,29.0,68.3,1021.4,5.9,506.0,354224.0
1529,Liverpool,19/04/2020,3.4,32.9,15.0,30.0,56.3,1020.1,9.8,1196.0,498042.0
1530,London,19/04/2020,6.2,26.6,19.0,41.0,64.6,1019.7,10.7,22313.0,8961989.0
1532,Manchester,19/04/2020,4.3,31.0,20.0,26.0,57.8,1022.2,9.1,958.0,552858.0
1533,Newport,19/04/2020,5.1,27.3,16.0,46.0,72.5,1017.6,10.7,1867.0,154676.0
