No,No1,City,Date,no2,o3,pm10,pm25,humidity,pressure,temperature,TotalCases,Population,daily_growth_rt_percent,daily_growth_abs_num,daily_growth_rt_by_popu_percent
1397,1934,Swansea,24/03/2020,7.4,26,28,61,72.5,1023.9,8.6,85,246993,119.72,14.00,48.47
1398,2017,Swansea,25/03/2020,8.7,28.5,26,59,65,1023.8,7.5,96,246993,112.94,11.00,45.73
1399,2100,Swansea,26/03/2020,8.7,27.7,33,70,59.2,1024,6.9,111,246993,115.63,15.00,46.81
1400,2182,Swansea,27/03/2020,6.4,28.5,32,74,62.2,1025.4,7.6,141,246993,127.03,30.00,51.43
1401,2264,Swansea,28/03/2020,1.9,32.9,18,34,62.5,1032,7.2,155,246993,109.93,14.00,44.51
1402,2346,Swansea,29/03/2020,1.2,32.9,11,13,52,1041.7,6.1,173,246993,111.61,18.00,45.19
1403,2409,Swansea,30/03/2020,3.2,29.3,10,13,70.7,1040.2,2.7,224,246993,129.48,51.00,52.42
1404,2472,Swansea,31/03/2020,2.8,32.9,11,17,65,1033.8,6.6,255,246993,113.84,31.00,46.09
1405,60,Swansea,01/04/2020,4.3,29.3,16,72,75.5,1025.8,7,288,246993,112.94,33.00,45.73
1406,142,Swansea,02/04/2020,4.6,28.3,16,25,79.5,1018.6,9.8,328,246993,113.89,40.00,46.11
1407,224,Swansea,03/04/2020,4.2,28.1,12,21,87,1019.2,8.6,388,246993,118.29,60.00,47.89
1408,306,Swansea,04/04/2020,3.2,30.1,17,30,66.5,1018.2,10.5,443,246993,114.18,55.00,46.23
1409,389,Swansea,05/04/2020,2.8,32.1,21,38,61,1007.6,13.8,491,246993,110.84,48.00,44.87
1410,472,Swansea,06/04/2020,6.9,27.3,30,46,79.2,1017.2,10.4,545,246993,111.00,54.00,44.94
1411,555,Swansea,07/04/2020,3.7,28.9,17,25,55.7,1028.6,13.8,607,246993,111.38,62.00,45.09
1412,637,Swansea,08/04/2020,9.2,29.7,24,61,63.2,1025.3,15.1,679,246993,111.86,72.00,45.29
1413,718,Swansea,09/04/2020,5.1,31.7,32,68,70.7,1023.7,15.2,741,246993,109.13,62.00,44.18
1414,800,Swansea,10/04/2020,4.2,47.2,37,85,58.2,1022.5,16.8,806,246993,108.77,65.00,44.04
1415,881,Swansea,11/04/2020,7.4,37.8,47,107,73.5,1022.4,13.7,837,246993,103.85,31.00,42.04
1416,962,Swansea,12/04/2020,4.6,31.7,39,95,79,1014.1,13.8,895,246993,106.93,58.00,43.29
1417,1045,Swansea,13/04/2020,1.4,30.9,18,34,61.7,1026.1,10.2,946,246993,105.70,51.00,42.79
1418,1127,Swansea,14/04/2020,4.2,31.3,19,25,66.5,1029.1,6.5,988,246993,104.44,42.00,42.28
1419,1209,Swansea,15/04/2020,4.6,35,23,46,56.5,1022.5,9.5,1060,246993,107.29,72.00,43.44
1420,1291,Swansea,16/04/2020,5.5,36.6,29,57,56.3,1014.8,15.3,1128,246993,106.42,68.00,43.08
1421,1374,Swansea,17/04/2020,4.6,29.7,27,63,79,1014.8,12.2,1184,246993,104.96,56.00,42.50
1422,1457,Swansea,18/04/2020,2.8,24.4,13,38,83.3,1018.2,10.1,1224,246993,103.38,40.00,41.85
1423,1540,Swansea,19/04/2020,1.9,30.1,17,46,64.5,1020,13.1,1261,246993,103.02,37.00,41.71
1424,1623,Swansea,20/04/2020,2.3,35.8,17,30,51.5,1017.4,11.9,1293,246993,102.54,32.00,41.51
1425,1706,Swansea,21/04/2020,2.8,36.2,23,34,51,1016.5,14.4,1337,246993,103.40,44.00,41.86
1426,1789,Swansea,22/04/2020,5.5,32.9,38,59,63.7,1019.8,13.6,1381,246993,103.29,44.00,41.82
1427,1872,Swansea,23/04/2020,6.9,30.9,39,63,67.2,1020.3,14,1425,246993,103.19,44.00,41.78
1428,1955,Swansea,24/04/2020,7.4,33.8,43,76,70,1015.5,14.3,1472,246993,103.30,47.00,41.82
1429,2038,Swansea,25/04/2020,6.9,30.9,37,80,74.5,1014.1,12.9,1494,246993,101.49,22.00,41.09
1430,2120,Swansea,26/04/2020,4.6,32.5,35,72,74,1012.7,13,1515,246993,101.41,21.00,41.06
1431,2203,Swansea,27/04/2020,5.5,30.5,29,68,84,1008.4,12.5,1533,246993,101.19,18.00,40.97
1432,2285,Swansea,28/04/2020,4.2,22.4,10,21,96,1004.9,9.4,1553,246993,101.30,20.00,41.02
1433,2367,Swansea,29/04/2020,3.7,25.6,16,25,91,999,8.4,1585,246993,102.06,32.00,41.32
1434,2429,Swansea,30/04/2020,3.2,29.3,16,25,85.2,993.8,8.8,1609,246993,101.51,24.00,41.10
1435,81,Swansea,01/05/2020,2.3,30.5,17,21,80,1001.4,10.6,1629,246993,101.24,20.00,40.99
1436,163,Swansea,02/05/2020,3.2,28.5,10,17,79.5,1012.8,9.8,1639,246993,100.61,10.00,40.74
1437,244,Swansea,03/05/2020,2.8,28.5,11,25,86.2,1016.2,10.5,1646,246993,100.43,7.00,40.66
1438,327,Swansea,04/05/2020,2.8,33.8,16,38,64,1018.6,13.6,1658,246993,100.73,12.00,40.78
1439,410,Swansea,05/05/2020,3.2,32.1,14,25,63.2,1018.6,12.5,1670,246993,100.72,12.00,40.78
1440,493,Swansea,06/05/2020,3.7,34.2,19,34,53,1024.4,12.7,1680,246993,100.60,10.00,40.73
1441,576,Swansea,07/05/2020,6,33.8,25,55,74,1021.7,13.7,1691,246993,100.65,11.00,40.75
1442,657,Swansea,08/05/2020,6.4,24.4,26,55,77.7,1018.2,15.9,1702,246993,100.65,11.00,40.75
1443,739,Swansea,09/05/2020,6,24.4,21,55,71.5,1012.9,18.7,1714,246993,100.71,12.00,40.77
1444,820,Swansea,10/05/2020,2.8,26.9,16,34,68.2,1009.3,14.3,1735,246993,101.23,21.00,40.98
1445,901,Swansea,11/05/2020,2.3,28.9,12,17,54.7,1022.4,7.6,1747,246993,100.69,12.00,40.77
1446,983,Swansea,12/05/2020,3.7,28.9,11,30,64.5,1022,10.4,1753,246993,100.34,6.00,40.63
1447,1066,Swansea,13/05/2020,2.8,30.1,10,17,62.7,1018.3,9.8,1763,246993,100.57,10.00,40.72
1448,1148,Swansea,14/05/2020,3.7,28.5,11,21,59.2,1024.6,11.2,1769,246993,100.34,6.00,40.62
1449,1230,Swansea,15/05/2020,2.3,32.5,8,17,60.7,1026,10.2,1778,246993,100.51,9.00,40.69
1450,1312,Swansea,16/05/2020,3.2,29.3,10,17,73.2,1026.2,12.2,1805,246993,101.52,27.00,41.10
1451,1395,Swansea,17/05/2020,3.2,28.1,13,34,83.5,1025.6,12,1810,246993,100.28,5.00,40.60
1452,1478,Swansea,18/05/2020,3.7,31.7,15,25,82.5,1025.8,12.5,1826,246993,100.88,16.00,40.84
1453,1561,Swansea,19/05/2020,3.2,26,11,30,82.2,1025.5,12.5,1840,246993,100.77,14.00,40.80
1454,1644,Swansea,20/05/2020,6.9,21.3,20,34,75,1021.2,14.5,1841,246993,100.05,1.00,40.51
1455,1727,Swansea,21/05/2020,4.9,30.9,20,38,72.7,1019.7,17.2,1844,246993,100.16,3.00,40.55
1456,1810,Swansea,22/05/2020,6,23.5,41,57,84,1015.3,13.8,1847,246993,100.16,3.00,40.55
1457,1893,Swansea,23/05/2020,1.9,26,30,50,79.7,1023.1,12.5,1857,246993,100.54,10.00,40.71
1458,1976,Swansea,24/05/2020,1.9,26.9,25,46,83.2,1033,13.1,1861,246993,100.22,4.00,40.57
1459,2059,Swansea,25/05/2020,3.2,21.6,13,25,73,1035.7,13.8,1864,246993,100.16,3.00,40.55
1460,2141,Swansea,26/05/2020,3.7,18.5,15,34,77,1036.7,16.6,1867,246993,100.16,3.00,40.55
1461,2223,Swansea,27/05/2020,7.8,20.2,23,50,68.7,1035.9,19.1,1867,246993,100.00,0.00,40.49
1462,2305,Swansea,28/05/2020,3.7,37,18,38,53.5,1032.4,19.7,1867,246993,100.00,0.00,40.49
1463,2387,Swansea,29/05/2020,4.2,38.1,17,30,49.5,1026.3,19.1,1868,246993,100.05,1.00,40.51
1464,2450,Swansea,30/05/2020,4.2,40.7,20,38,33.2,1022.4,21.8,1868,246993,100.00,0.00,40.49
